provider,game_name,Game Tag,Game Sub Type,sub_category,casinoGameId,game_id,description,logo_round,logo_square,banner
Ncasino,Huaguoshan Legends,RNG,Slot,Slot,jdb_huaguoshan_legends,5363,0,,,
Ncasino,Jogo Do Bicho,RNG,Slot,Slot,jdb_jogo_do_bicho,5364,0,,,
Ncasino,King Of Football,RNG,Slot,Slot,jdb_king_of_football,5365,0,,,
Ncasino,Kingsman,RNG,Slot,Slot,jdb_kingsman,5366,0,,,
Ncasino,Kong,RNG,Slot,Slot,jdb_kong,5367,0,,,
Ncasino,LanternWealth,RNG,Slot,Slot,jdb_lanternwealth,5368,0,,,
Ncasino,Legendary5,RNG,Slot,Slot,jdb_legendary5,5369,0,,,
Ncasino,Lucky Color Game,RNG,Slot,Slot,jdb_lucky_color_game,5370,0,,,
Ncasino,Lucky Dragons,RNG,Slot,Slot,jdb_lucky_dragons,5371,0,,,
Ncasino,LuckyDiamond,RNG,Slot,Slot,jdb_luckydiamond,5372,0,,,
Ncasino,LuckySeven,RNG,Slot,Slot,jdb_luckyseven,5373,0,,,
Ncasino,Magic Ace,RNG,Slot,Slot,jdb_magic_ace,5374,0,,,
Ncasino,Magic Ace Wild Lock,RNG,Slot,Slot,jdb_magic_ace_wild_lock,5375,0,,,
Ncasino,Mahjong,RNG,Slot,Slot,jdb_mahjong,5376,0,,,
Ncasino,MarvelousIV,RNG,Slot,Slot,jdb_marvelousiv,5377,0,,,
Ncasino,MayaGoldCrazy,RNG,Slot,Slot,jdb_mayagoldcrazy,5378,0,,,
Ncasino,MinerBabe,RNG,Slot,Slot,jdb_minerbabe,5379,0,,,
Ncasino,Mines,RNG,Slot,Slot,jdb_mines,5380,0,,,
Ncasino,Mines 2,RNG,Slot,Slot,jdb_mines_2,5381,0,,,
Ncasino,Mjolnir,RNG,Slot,Slot,jdb_mjolnir,5382,0,,,
Ncasino,Moneybags Man,RNG,Slot,Slot,jdb_moneybags_man,5383,0,,,
Ncasino,Moneybags Man 2,RNG,Slot,Slot,jdb_moneybags_man_2,5384,0,,,
Ncasino,Moonlight Treasure,RNG,Slot,Slot,jdb_moonlight_treasure,5385,0,,,
Ncasino,Napoleon,RNG,Slot,Slot,jdb_napoleon,5386,0,,,
Ncasino,New Year,RNG,Slot,Slot,jdb_new_year,5387,0,,,
Ncasino,Olympian Temple,RNG,Slot,Slot,jdb_olympian_temple,5388,0,,,
Ncasino,Open Sesame,RNG,Slot,Slot,jdb_open_sesame,5389,0,,,
Ncasino,Open Sesame II,RNG,Slot,Slot,jdb_open_sesame_ii,5390,0,,,
Ncasino,Open Sesame Mega,RNG,Slot,Slot,jdb_open_sesame_mega,5391,0,,,
Ncasino,OrientAnimals,RNG,Slot,Slot,jdb_orientanimals,5392,0,,,
Ncasino,Piggy Bank,RNG,Slot,Slot,jdb_piggy_bank,5393,0,,,
Ncasino,Plinko,RNG,Slot,Slot,jdb_plinko,5394,0,,,
Ncasino,Pop Pop Candy 1000,RNG,Slot,Slot,jdb_pop_pop_candy_1000,5395,0,,,
Ncasino,ProsperityTiger,RNG,Slot,Slot,jdb_prosperitytiger,5396,0,,,
Ncasino,Rooster In Love,RNG,Slot,Slot,jdb_rooster_in_love,5397,0,,,
Ncasino,Spindrift,RNG,Slot,Slot,jdb_spindrift,5398,0,,,
Ncasino,Spindrift2,RNG,Slot,Slot,jdb_spindrift2,5399,0,,,
Ncasino,SuperNiubi,RNG,Slot,Slot,jdb_superniubi,5400,0,,,
Ncasino,SuperNiubiDeluxe,RNG,Slot,Slot,jdb_superniubideluxe,5401,0,,,
Ncasino,The Llama Adventure,RNG,Slot,Slot,jdb_the_llama_adventure,5402,0,,,
Ncasino,Treasure Bowl,RNG,Slot,Slot,jdb_treasurebowl,5403,0,,,
Ncasino,TripleKingKong,RNG,Slot,Slot,jdb_triplekingkong,5404,0,,,
